File,Accent,VoiceNum,Stim,Text
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s21.wav,CH,02,21,DAD TALKED ABOUT THE SHEETS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s22.wav,CH,02,22,MOM THINKS THAT IT IS YELLOW
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s27.wav,CH,02,27,HE LOOKED AT HER WRIST
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s28.wav,CH,02,28,WE READ ABOUT THE COACH
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s3.wav,CH,02,3,MOM POINTED AT HIS FATHER
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s31.wav,CH,02,31,THIS IS HER FAVORITE WEEK
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s35.wav,CH,02,35,MOM LOOKED AT THE JUICE
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s37.wav,CH,02,37,SHE TALKED ABOUT THEIR NECKS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s39.wav,CH,02,39,SHE TALKED ABOUT THE LEAVES
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s40.wav,CH,02,40,WE LOOKED AT THE STORY
